Statistiska tätorter 2023, befolkning, landareal, befolkningstäthet;;;;;;;;;;;;;;;;;;;;;;;;
Källa: SCB, www.scb.se/MI0810. Publicerad 2024-11-28;;;;;;;;;;;;;;;;;;;;;;;;
Statistisk tätort: Bebyggelseområde med minst 200 folkbokförda invånare och tät bebyggelse;;;;;;;;;;;;;;;;;;;;;;;;
Befolkning: Befolkning folkbokförd på adress inom statistiska tätorter 2023;;;;;;;;;;;;;;;;;;;;;;;;
Befolkningstäthet: Antal folkbokförda invånare dividerat med tätortens landareal i kvadratkilometer;;;;;;;;;;;;;;;;;;;;;;;;
Kommun och län avser tätorterns mest ursprungliga del eller den ytmässigt största delen av tätorten;;;;;;;;;;;;;;;;;;;;;;;;
Preliminära tätortsbeteckningar avser nya tätorter och tätorter med stor förändring i yta. Lantmäteriet utreder och fastställer definitiva beteckningar. ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Länskod;Länsnamn;Kommunkod ;Kommunnamn;Tätortskod;Tätortsbeteckning;"Ny
2023";"Befolkning 
2020-12-30";"Befolkning 
2023-12-31";"Skillnad 
befolkning 
2020-2023";"Landareal 
i hektar
2020";"Landareal 
i hektar
2023";"Skillnad 
i landareal
2020-2023";"Befolknings-
täthet
2020-12-30";"Befolknings-
täthet
2023-12-31";"Skillnad
befolknings-täthet 
2020-2023";;;;;;;;;
06;Jönköping;0686;Eksjö;0686TB106;Mariannelund;;1 591;1 518;-73;223;226;3;715;672;-43;;;;;;;;;
06;Jönköping;0686;Eksjö;0686TC102;Eksjö;;11 023;11 077;54;922;967;45;1 196;1 145;-51;;;;;;;;;
06;Jönköping;0687;Tranås;0687TB101;Gripenberg;;271;260;-11;55;57;2;489;456;-33;;;;;;;;;
06;Jönköping;0687;Tranås;0687TB102;Hätte, Seglarvik och Sandvik;;259;284;25;76;81;5;339;351;12;;;;;;;;;
06;Jönköping;0687;Tranås;0687TB103;Sommen;;766;740;-26;112;111;-1;685;664;-21;;;;;;;;;
06;Jönköping;0687;Tranås;0687TB108;Norraby;;250;281;31;35;41;6;723;680;-43;;;;;;;;;
06;Jönköping;0687;Tranås;0687TC104;Tranås;;14 789;14 611;-178;1 042;1 125;83;1 420;1 299;-121;;;;;;;;;
07;Kronoberg;0760;Uppvidinge;0760TB101;Alstermo;;875;845;-30;184;186;2;476;455;-21;;;;;;;;;
07;Kronoberg;0760;Uppvidinge;0760TB103;Lenhovda;;1 769;1 694;-75;240;247;7;738;685;-53;;;;;;;;;
07;Kronoberg;0760;Uppvidinge;0760TB104;Norrhult-Klavreström;;1 217;1 184;-33;287;293;6;423;405;-18;;;;;;;;;
07;Kronoberg;0760;Uppvidinge;0760TB106;Älghult;;457;416;-41;100;99;-1;458;419;-39;;;;;;;;;
07;Kronoberg;0760;Uppvidinge;0760TC105;Åseda;;2 740;2 713;-27;325;346;21;842;784;-58;;;;;;;;;
07;Kronoberg;0761;Lessebo;0761TB101;Hovmantorp;;3 202;3 208;6;285;291;6;1 125;1 103;-22;;;;;;;;;
07;Kronoberg;0761;Lessebo;0761TB102;Kosta;;915;836;-79;173;172;-1;528;486;-42;;;;;;;;;
07;Kronoberg;0761;Lessebo;0761TB104;Skruv;;524;485;-39;122;126;4;428;386;-42;;;;;;;;;
07;Kronoberg;0761;Lessebo;0761TC103;Lessebo;;3 059;2 881;-178;352;361;9;869;798;-71;;;;;;;;;
07;Kronoberg;0763;Tingsryd;0763TB103;Konga;;458;441;-17;100;100;0;457;440;-17;;;;;;;;;
07;Kronoberg;0763;Tingsryd;0763TB104;Linneryd;;449;449;0;127;129;2;354;347;-7;;;;;;;;;
07;Kronoberg;0763;Tingsryd;0763TB105;Ryd;;1 450;1 318;-132;232;236;4;624;558;-66;;;;;;;;;
07;Kronoberg;0763;Tingsryd;0763TB106;Rävemåla;;302;302;0;81;81;0;372;373;1;;;;;;;;;
07;Kronoberg;0763;Tingsryd;0763TB108;Urshult;;967;924;-43;224;226;2;433;409;-24;;;;;;;;;
07;Kronoberg;0763;Tingsryd;0763TB109;Väckelsång;;979;946;-33;144;145;1;681;651;-30;;;;;;;;;
07;Kronoberg;0763;Tingsryd;0763TC107;Tingsryd;;3 197;3 164;-33;417;428;11;766;739;-27;;;;;;;;;
07;Kronoberg;0764;Alvesta;0764TB102;Grimslöv;;601;597;-4;84;84;0;714;712;-2;;;;;;;;;
07;Kronoberg;0764;Alvesta;0764TB103;Hjortsberga;;253;252;-1;63;63;0;404;402;-2;;;;;;;;;
07;Kronoberg;0764;Alvesta;0764TB104;Moheda;;1 863;1 836;-27;258;259;1;721;709;-12;;;;;;;;;
07;Kronoberg;0764;Alvesta;0764TB105;Torpsbruk;;346;308;-38;64;65;1;537;477;-60;;;;;;;;;
07;Kronoberg;0764;Alvesta;0764TB106;Vislanda;;1 831;1 809;-22;256;283;27;715;639;-76;;;;;;;;;
07;Kronoberg;0764;Alvesta;0764TC101;Alvesta;;9 255;9 172;-83;649;658;9;1 426;1 393;-33;;;;;;;;;
07;Kronoberg;0765;Älmhult;0765TB102;Diö och Liatorp (preliminär);;932;1 469;537;160;253;93;582;580;-2;;;;;;;;;
07;Kronoberg;0765;Älmhult;0765TB103;Eneryda;;330;305;-25;68;68;0;486;446;-40;;;;;;;;;
07;Kronoberg;0765;Älmhult;0765TC106;Älmhult;;11 003;11 053;50;1 024;1 049;25;1 074;1 054;-20;;;;;;;;;
07;Kronoberg;0767;Markaryd;0767TB102;Strömsnäsbruk;;2 354;2 216;-138;336;349;13;701;636;-65;;;;;;;;;
07;Kronoberg;0767;Markaryd;0767TB104;Traryd;;751;659;-92;176;173;-3;426;380;-46;;;;;;;;;
07;Kronoberg;0767;Markaryd;0767TC101;Markaryd;;5 123;5 085;-38;698;741;43;734;686;-48;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB101;Björnö;1;;210;;;17;0;;1 246;0;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB102;Braås;;1 779;1 633;-146;155;158;3;1 149;1 032;-117;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB103;Furuby;;383;416;33;61;66;5;625;628;3;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB104;Gemla;;1 141;1 081;-60;190;167;-23;601;648;47;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB105;Ingelstad;;1 894;1 863;-31;226;225;-1;837;826;-11;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB106;Lammhult;;1 751;1 600;-151;194;197;3;903;811;-92;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB107;Nöbbele;;245;237;-8;53;66;13;463;362;-101;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB108;Rottne;;2 434;2 465;31;198;206;8;1 230;1 196;-34;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB109;Tävelsås;;364;382;18;67;75;8;547;508;-39;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB111;Åby;;418;423;5;60;67;7;694;633;-61;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB112;Åryd;;676;710;34;81;86;5;831;823;-8;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TB138;Öja;;397;396;-1;59;59;0;672;674;2;;;;;;;;;
07;Kronoberg;0780;Växjö;0780TC110;Växjö;;71 282;74 052;2 770;3 723;3 823;100;1 915;1 937;22;;;;;;;;;
07;Kronoberg;0781;Ljungby;0781TB102;Angelstad;;239;238;-1;61;62;1;390;387;-3;;;;;;;;;
07;Kronoberg;0781;Ljungby;0781TB103;Kånna;;314;312;-2;47;47;0;663;662;-1;;;;;;;;;
07;Kronoberg;0781;Ljungby;0781TB104;Lagan;;1 642;1 626;-16;246;257;11;667;633;-34;;;;;;;;;
07;Kronoberg;0781;Ljungby;0781TB105;Lidhult;;676;615;-61;130;138;8;520;445;-75;;;;;;;;;
07;Kronoberg;0781;Ljungby;0781TB107;Ryssby;;776;744;-32;158;160;2;490;465;-25;;;;;;;;;
07;Kronoberg;0781;Ljungby;0781TB108;Vittaryd;;326;305;-21;82;83;1;396;367;-29;;;;;;;;;
07;Kronoberg;0781;Ljungby;0781TC106;Ljungby;;16 098;16 076;-22;1 238;1 352;114;1 300;1 189;-111;;;;;;;;;
08;Kalmar;0821;Högsby;0821TB101;Berga;;732;655;-77;144;144;0;508;455;-53;;;;;;;;;
08;Kalmar;0821;Högsby;0821TB103;Fågelfors;;390;368;-22;138;141;3;283;260;-23;;;;;;;;;
08;Kalmar;0821;Högsby;0821TB106;Ruda;;612;556;-56;128;124;-4;477;448;-29;;;;;;;;;
08;Kalmar;0821;Högsby;0821TC105;Högsby;;1 971;1 872;-99;264;267;3;747;701;-46;;;;;;;;;
08;Kalmar;0834;Torsås;0834TB101;Bergkvara;;1 221;1 129;-92;252;258;6;485;438;-47;;;;;;;;;
08;Kalmar;0834;Torsås;0834TB102;Söderåkra;;934;940;6;159;161;2;588;583;-5;;;;;;;;;
08;Kalmar;0834;Torsås;0834TC103;Torsås;;2 042;1 967;-75;325;295;-30;629;666;37;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB101;Algutsrum;;871;866;-5;175;176;1;497;491;-6;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB103;Degerhamn;;313;289;-24;99;106;7;318;272;-46;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB104;Färjestaden;;6 130;6 674;544;687;716;29;892;932;40;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB105;Glömminge och Strandskogen;;885;950;65;276;294;18;320;323;3;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB107;Gårdby;;261;261;0;75;73;-2;349;359;10;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB108;Kastlösa;;219;222;3;102;102;0;214;218;4;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB112;Skogsby;;979;993;14;264;268;4;371;370;-1;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB113;Vickleby;;456;488;32;148;147;-1;307;332;25;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TB134;Stora Frö och Haga park;;233;232;-1;123;126;3;190;183;-7;;;;;;;;;
08;Kalmar;0840;Mörbylånga;0840TC109;Mörbylånga;;1 802;1 809;7;233;249;16;774;727;-47;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TB102;Järnforsen;;426;423;-3;133;141;8;320;300;-20;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TB104;Målilla;;1 429;1 461;32;324;345;21;441;423;-18;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TB105;Mörlunda;;828;848;20;235;217;-18;353;390;37;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TB106;Rosenfors;;288;267;-21;73;74;1;395;359;-36;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TB107;Silverdalen;;666;642;-24;126;127;1;528;505;-23;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TB108;Vena;;386;372;-14;88;88;0;440;421;-19;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TB109;Virserum;;1 844;1 698;-146;294;295;1;628;576;-52;;;;;;;;;
08;Kalmar;0860;Hultsfred;0860TC101;Hultsfred;;5 675;5 614;-61;552;569;17;1 028;987;-41;;;;;;;;;
08;Kalmar;0861;Mönsterås;0861TB101;Blomstermåla;;2 322;2 249;-73;381;391;10;610;576;-34;;;;;;;;;
08;Kalmar;0861;Mönsterås;0861TB103;Fliseryd;;716;710;-6;140;134;-6;512;528;16;;;;;;;;;
08;Kalmar;0861;Mönsterås;0861TB105;Oknö;;377;337;-40;142;146;4;265;230;-35;;;;;;;;;
08;Kalmar;0861;Mönsterås;0861TB106;Timmernabben;;1 412;1 423;11;218;228;10;647;624;-23;;;;;;;;;
08;Kalmar;0861;Mönsterås;0861TC104;Mönsterås;;5 186;5 127;-59;512;534;22;1 013;960;-53;;;;;;;;;
08;Kalmar;0862;Emmaboda;0862TB104;Johansfors;;415;401;-14;152;159;7;273;252;-21;;;;;;;;;
08;Kalmar;0862;Emmaboda;0862TB105;Långasjö;;342;332;-10;82;82;0;415;403;-12;;;;;;;;;
08;Kalmar;0862;Emmaboda;0862TB106;Vissefjärda;;643;601;-42;104;105;1;618;571;-47;;;;;;;;;
08;Kalmar;0862;Emmaboda;0862TC102;Emmaboda;;5 054;4 788;-266;591;592;1;855;809;-46;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB102;Dunö;;435;416;-19;60;60;0;727;690;-37;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB103;Hagby;;834;831;-3;267;272;5;312;306;-6;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB104;Halltorp;;274;248;-26;69;70;1;397;356;-41;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB106;Lindsdal;;5 977;6 061;84;409;418;9;1 463;1 451;-12;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB107;Ljungbyholm;;1 831;2 008;177;215;225;10;852;892;40;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB108;Läckeby;;955;940;-15;123;136;13;775;693;-82;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB109;Påryd;;666;655;-11;125;128;3;533;510;-23;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB110;Rinkabyholm;;1 659;1 642;-17;130;142;12;1 276;1 159;-117;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB111;Rockneby;;980;974;-6;176;180;4;558;542;-16;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB112;Smedby;;3 730;3 742;12;312;419;107;1 195;892;-303;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB113;Drag;;576;667;91;161;164;3;357;406;49;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB114;Trekanten;;1 579;1 559;-20;276;278;2;573;561;-12;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB115;Tvärskog;;391;396;5;79;79;0;493;503;10;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB116;Vassmolösa;;531;530;-1;127;130;3;418;408;-10;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB117;Åmunnen;;353;380;27;38;38;0;934;1 003;69;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB137;Revsudden;;206;209;3;56;59;3;371;352;-19;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TB147;Kläckeberga skog (preliminär);1;;840;;;27;0;;3 101;0;;;;;;;;;
08;Kalmar;0880;Kalmar;0880TC105;Kalmar;;41 852;42 622;770;2 052;2 047;-5;2 040;2 082;42;;;;;;;;;
08;Kalmar;0881;Nybro;0881TB101;Alsterbro;;416;419;3;99;105;6;420;401;-19;;;;;;;;;
08;Kalmar;0881;Nybro;0881TB102;Bäckebo;;226;232;6;90;92;2;251;253;2;;;;;;;;;
08;Kalmar;0881;Nybro;0881TB104;Flygsfors;;225;206;-19;48;49;1;466;421;-45;;;;;;;;;
08;Kalmar;0881;Nybro;0881TB105;Kristvallabrunn;;221;213;-8;62;63;1;359;340;-19;;;;;;;;;
08;Kalmar;0881;Nybro;0881TB108;Orrefors;;759;663;-96;133;134;1;570;495;-75;;;;;;;;;
08;Kalmar;0881;Nybro;0881TB109;Örsjö;;363;379;16;81;84;3;446;450;4;;;;;;;;;
08;Kalmar;0881;Nybro;0881TC107;Nybro;;13 599;13 584;-15;1 163;1 195;32;1 169;1 137;-32;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TB101;Bockara;;354;334;-20;99;99;0;359;336;-23;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TB102;Emsfors;;317;321;4;71;69;-2;449;463;14;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TB103;Figeholm;;837;784;-53;115;117;2;727;667;-60;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TB104;Fårbo;;508;474;-34;86;89;3;593;532;-61;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TB105;Kristdala;;974;926;-48;181;184;3;537;504;-33;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TB109;Påskallavik;;1 081;1 118;37;125;129;4;863;866;3;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TB112;Stångehamn;;215;215;0;85;86;1;254;251;-3;;;;;;;;;
08;Kalmar;0882;Oskarshamn;0882TC108;Oskarshamn;;18 921;18 817;-104;1 512;1 555;43;1 251;1 210;-41;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB102;Ankarsrum;;1 278;1 207;-71;167;168;1;766;717;-49;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB104;Edsbruk;;303;281;-22;68;68;0;443;413;-30;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB105;Gamleby;;2 826;2 759;-67;360;362;2;786;761;-25;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB106;Gunnebo;;1 018;1 019;1;160;154;-6;638;662;24;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB107;Hjorted;;335;340;5;65;67;2;517;511;-6;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB109;Loftahammar;;478;425;-53;278;254;-24;172;167;-5;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB110;Piperskärr;;654;687;33;105;141;36;625;486;-139;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB111;Totebo;;221;223;2;47;53;6;466;418;-48;;;;;;;;;
08;Kalmar;0883;Västervik;0883TB113;Överum;;1 155;1 096;-59;167;168;1;693;654;-39;;;;;;;;;
08;Kalmar;0883;Västervik;0883TC112;Västervik;;21 472;21 615;143;1 444;1 510;66;1 487;1 431;-56;;;;;;;;;
08;Kalmar;0884;Vimmerby;0884TB101;Frödinge;;302;302;0;92;88;-4;327;343;16;;;;;;;;;
08;Kalmar;0884;Vimmerby;0884TB102;Gullringen;;509;465;-44;116;136;20;437;341;-96;;;;;;;;;
08;Kalmar;0884;Vimmerby;0884TB104;Storebro;;1 025;936;-89;144;147;3;712;637;-75;;;;;;;;;
08;Kalmar;0884;Vimmerby;0884TB105;Södra Vi;;1 162;1 117;-45;172;166;-6;675;673;-2;;;;;;;;;
08;Kalmar;0884;Vimmerby;0884TB106;Tuna;;240;235;-5;41;42;1;590;563;-27;;;;;;;;;
08;Kalmar;0884;Vimmerby;0884TC107;Vimmerby;;8 231;8 176;-55;791;831;40;1 041;983;-58;;;;;;;;;
08;Kalmar;0885;Borgholm;0885TB103;Rälla;;412;425;13;107;115;8;385;370;-15;;;;;;;;;
08;Kalmar;0885;Borgholm;0885TB105;Löttorp;;576;564;-12;439;436;-3;131;129;-2;;;;;;;;;
08;Kalmar;0885;Borgholm;0885TC102;Borgholm;;4 401;4 280;-121;968;925;-43;455;463;8;;;;;;;;;
09;Gotland;0980;Gotland;0980TB101;Burgsvik;;344;322;-22;129;128;-1;267;251;-16;;;;;;;;;
09;Gotland;0980;Gotland;0980TB102;Fårösund;;815;883;68;245;306;61;333;288;-45;;;;;;;;;
09;Gotland;0980;Gotland;0980TB104;Havdhem;;255;268;13;96;97;1;267;278;11;;;;;;;;;
09;Gotland;0980;Gotland;0980TB105;Hemse;;1 766;1 752;-14;230;229;-1;769;767;-2;;;;;;;;;
09;Gotland;0980;Gotland;0980TB107;Klintehamn;;1 541;1 539;-2;305;308;3;505;500;-5;;;;;;;;;
09;Gotland;0980;Gotland;0980TB108;Ljugarn;1;;202;;;207;0;;98;0;;;;;;;;;
09;Gotland;0980;Gotland;0980TB109;Lärbro;;468;466;-2;87;89;2;537;522;-15;;;;;;;;;
09;Gotland;0980;Gotland;0980TB111;Romakloster;;1 374;1 347;-27;294;307;13;467;439;-28;;;;;;;;;
09;Gotland;0980;Gotland;0980TB113;Slite;;1 481;1 405;-76;254;249;-5;583;564;-19;;;;;;;;;
09;Gotland;0980;Gotland;0980TB114;Brissund och Själsö;;416;522;106;224;274;50;186;191;5;;;;;;;;;
09;Gotland;0980;Gotland;0980TB115;Stånga;;332;335;3;125;123;-2;266;273;7;;;;;;;;;
09;Gotland;0980;Gotland;0980TB116;Tingstäde;;236;249;13;76;76;0;310;328;18;;;;;;;;;
09;Gotland;0980;Gotland;0980TB117;Tofta;;832;895;63;557;605;48;149;148;-1;;;;;;;;;
09;Gotland;0980;Gotland;0980TB118;Vibble;;1 810;1 792;-18;370;380;10;490;472;-18;;;;;;;;;
09;Gotland;0980;Gotland;0980TB120;Väskinde;;347;361;14;45;61;16;769;594;-175;;;;;;;;;
09;Gotland;0980;Gotland;0980TB121;Västerhejde;;546;651;105;93;115;22;586;566;-20;;;;;;;;;
09;Gotland;0980;Gotland;0980TB193;Västergarn (preliminär);1;;219;;;172;0;;127;0;;;;;;;;;
09;Gotland;0980;Gotland;0980TC119;Visby;;24 951;26 305;1 354;1 453;1 687;234;1 717;1 559;-158;;;;;;;;;
10;Blekinge;1060;Olofström;1060TB101;Gränum;;254;250;-4;59;60;1;428;416;-12;;;;;;;;;
10;Blekinge;1060;Olofström;1060TB102;Jämshög;;1 589;1 533;-56;254;249;-5;625;616;-9;;;;;;;;;
10;Blekinge;1060;Olofström;1060TB103;Kyrkhult;;953;976;23;165;167;2;578;584;6;;;;;;;;;
10;Blekinge;1060;Olofström;1060TB105;Vilshult;;304;268;-36;101;100;-1;301;267;-34;;;;;;;;;
10;Blekinge;1060;Olofström;1060TC104;Olofström;;7 777;7 628;-149;686;698;12;1 133;1 093;-40;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB102;Drottningskär;;502;479;-23;224;224;0;224;213;-11;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB103;Fridlevstad;;685;697;12;110;113;3;624;619;-5;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB104;Fågelmara;;377;366;-11;85;85;0;441;428;-13;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB105;Gängletorp;;584;797;213;111;117;6;528;679;151;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB106;Hasslö;;1 689;1 704;15;379;391;12;445;436;-9;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB107;Holmsjö;;377;357;-20;120;124;4;315;288;-27;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB108;Jämjö;;2 675;2 674;-1;317;321;4;843;832;-11;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB110;Kättilsmåla;;245;251;6;59;58;-1;416;432;16;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB111;Nättraby;;3 319;3 338;19;349;366;17;950;913;-37;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB112;Nävragöl;;220;234;14;39;41;2;559;575;16;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB113;Ramdala;;274;253;-21;77;75;-2;358;337;-21;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB114;Rödeby;;3 517;3 473;-44;375;393;18;937;884;-53;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB115;Skavkulla och Skillingenäs;;881;885;4;175;178;3;503;498;-5;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB116;Sturkö;;1 373;1 372;-1;687;681;-6;200;202;2;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB117;Sjuhalla;;228;227;-1;67;67;0;343;339;-4;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB118;Spjutsbygd;;390;364;-26;63;67;4;619;546;-73;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB119;Torhamn;;553;544;-9;238;244;6;232;223;-9;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB120;Tving;;533;545;12;169;182;13;315;299;-16;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB133;Brömsebro;1;;214;;;79;0;;269;0;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB142;Färmanstorp och Skavkulla brygga;;212;284;72;64;62;-2;330;460;130;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB157;Möcklö (preliminär);1;;212;;;65;0;;329;0;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TB163;Stensnäset och Trummenäs;;403;432;29;73;75;2;549;572;23;;;;;;;;;
10;Blekinge;1080;Karlskrona;1080TC109;Karlskrona;;36 904;36 423;-481;2 138;2 203;65;1 726;1 654;-72;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB101;Backaryd;;374;347;-27;70;74;4;532;472;-60;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB102;Bräkne-Hoby;;1 720;1 704;-16;246;256;10;699;665;-34;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB103;Eringsboda;;303;288;-15;77;80;3;391;362;-29;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB104;Hallabro;;244;242;-2;61;62;1;399;393;-6;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB105;Johannishus;;743;786;43;100;103;3;746;766;20;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB106;Kallinge;;4 841;4 579;-262;539;525;-14;898;872;-26;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB107;Bökenäs, Korsanäs och Kuggeboda;;464;459;-5;244;252;8;190;182;-8;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB108;Listerby;;1 023;1 073;50;213;226;13;480;475;-5;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB110;Ronnebyhamn;;728;803;75;190;203;13;382;396;14;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TB111;Spjälkö och Saxemara;;471;505;34;212;213;1;223;237;14;;;;;;;;;
10;Blekinge;1081;Ronneby;1081TC109;Ronneby;;12 803;12 636;-167;811;833;22;1 578;1 517;-61;;;;;;;;;
10;Blekinge;1082;Karlshamn;1082TB101;Hällaryd;;631;575;-56;116;98;-18;545;584;39;;;;;;;;;
10;Blekinge;1082;Karlshamn;1082TB103;Mörrum;;4 003;3 913;-90;465;470;5;861;833;-28;;;;;;;;;
10;Blekinge;1082;Karlshamn;1082TB104;Svängsta;;2 022;1 924;-98;243;250;7;832;769;-63;;;;;;;;;
10;Blekinge;1082;Karlshamn;1082TB105;Horsaryd och Stilleryd;;336;330;-6;233;275;42;144;120;-24;;;;;;;;;
10;Blekinge;1082;Karlshamn;1082TB107;Åryd;;318;317;-1;75;79;4;421;404;-17;;;;;;;;;
10;Blekinge;1082;Karlshamn;1082TB134;Matvik och Boddestorp (preliminär);1;;432;;;194;0;;222;0;;;;;;;;;
10;Blekinge;1082;Karlshamn;1082TC102;Karlshamn;;20 228;19 966;-262;1 584;1 651;67;1 277;1 209;-68;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB102;Hällevik;;1 525;1 485;-40;345;345;0;442;431;-11;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB103;Hörvik;;823;808;-15;125;128;3;660;632;-28;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB104;Lörby;;263;263;0;88;89;1;300;295;-5;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB105;Mjällby;;1 365;1 379;14;227;233;6;601;591;-10;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB107;Norje;;886;911;25;312;349;37;284;261;-23;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB108;Pukavik;;345;364;19;114;121;7;303;301;-2;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB111;Ysane;;218;211;-7;56;56;0;392;377;-15;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB114;Ljungaviken;;364;449;85;20;22;2;1 851;2 081;230;;;;;;;;;
10;Blekinge;1083;Sölvesborg;1083TB129;Västra Näs och Sandviken (preliminär);1;;297;;;159;0;;186;0;;;;;;;;;
