Taxon id;Global sorteringsordning;Vetenskapligt namn;Auktor;Svenskt namn;Taxonstatus;Taxonkategori;Svensk förekomst;Svensk invandringshistoria;Rike;Fylum;Klass;Ordning;Familj;Släkte;Småart;Art;Andra identifierare;Andra vetenskapliga namn;Andra svenska namn;Andra namn;Webbadress
1001661;56296;Rangifer;C.H.Smith, 1827;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305272, Id för taxonid.org: 76dbf6;;;;https://dyntaxa.se/taxon/1001661
100120;56297;Rangifer tarandus;(Linnaeus, 1758);vildren;Accepterat;Art;Tillfällig, tidigare bofast;Spontan;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rangifer;;;GUID: urn:lsid:faunaeur.org:taxname:305273, Id för taxonid.org: 097f0e;cervus tarandus;ren;;https://dyntaxa.se/taxon/100120
6006719;56298;Rangifer tarandus tarandus;(Linnaeus, 1758);fjällren;Accepterat;Underart;Tillfällig, tidigare bofast;Spontan;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rangifer;;Rangifer tarandus;GUID: urn:lsid:faunaeur.org:taxname:305277, Id för taxonid.org: 11830c;cervus tarandus tarandus;fjällvildren, tundraren, euroasiatisk tundraren;;https://dyntaxa.se/taxon/6006719
6006720;56299;Rangifer tarandus fennicus;Lönnberg, 1909;skogsren;Accepterat;Underart;Förekommer ej, tidigare bofast;Spontan;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rangifer;;Rangifer tarandus;GUID: urn:lsid:faunaeur.org:taxname:305274, Id för taxonid.org: 45ce62;;skogsvildren;;https://dyntaxa.se/taxon/6006720
233627;56300;Rangifer tarandus tarandus, domestic form;(Linnaeus, 1758);tamren;Accepterat;Morfotyp;Bofast och reproducerande;Passivt införd och bofast före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rangifer;;;;rangifer tarandus;ren;;https://dyntaxa.se/taxon/233627
6007819;56301;Cervinae;Goldfuss, 1820;;Accepterat;Underfamilj;;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;;;;Id för taxonid.org: be5870;;;;https://dyntaxa.se/taxon/6007819
1001657;56302;Cervus;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305253, Id för taxonid.org: d778fa;;;;https://dyntaxa.se/taxon/1001657
206043;56303;Cervus elaphus;Linnaeus, 1758;kronhjort;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;;;GUID: urn:lsid:faunaeur.org:taxname:305262, Id för taxonid.org: 953fa2;;;;https://dyntaxa.se/taxon/206043
102103;56304;Cervus elaphus elaphus;Linnaeus, 1758;kronhjort;Accepterat;Underart;Bofast och reproducerande;Spontan;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;;Cervus elaphus;Id för taxonid.org: f6f459;cervus elaphus ssp. elaphus;;;https://dyntaxa.se/taxon/102103
6011557;56305;Cervus nippon;Temminck, 1838;sikahjort;Accepterat;Art;Ej påträffad;;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;;;GUID: urn:lsid:faunaeur.org:taxname:305263, Id för taxonid.org: fdc2ee;;;;https://dyntaxa.se/taxon/6011557
