"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Togo","16","17","9","2","69","4","1","15","0","0","133"
"Uganda","32","37","8","2","55","17","17","165","0","0","333"
"Zambia","13","24","4","0","26","12","1","70","2","0","152"
"Zimbabwe","10","24","5","6","5","0","8","82","0","0","140"
"Afghanistan","12","18","3","1","8","0","2","13","0","0","57"
"Armenia","7","17","7","0","2","0","6","82","0","0","121"
"Azerbaijan","7","20","8","1","12","1","5","50","1","0","105"
"Bahrain","3","11","4","0","39","0","32","0","0","0","89"
"Cyprus","7","11","3","1","41","7","16","23","3","0","112"
"Georgia","10","18","6","0","11","2","10","74","6","0","137"
"Iran, Islamic Republic of","18","31","15","5","85","1","42","20","0","0","217"
"Iraq","13","20","3","2","49","0","33","4","0","0","124"
"Israel","17","21","10","1","91","12","134","41","2","0","329"
"Jordan","13","18","6","0","34","6","125","8","0","0","210"
"Kazakhstan","16","29","1","2","21","1","5","22","1","0","98"
"Kuwait","7","14","4","0","41","0","31","0","0","0","97"
"Kyrgyzstan","5","18","3","1","9","0","3","23","0","0","62"
"Lebanon","10","14","7","0","43","10","9","101","0","0","194"
"Oman","9","16","8","0","83","3","63","9","0","0","191"
"Pakistan","24","34","17","1","122","0","25","23","1","0","247"
"Palestine, State of","7","18","4","0","19","1","2","12","0","0","63"
"Qatar","4","13","3","0","46","0","32","0","0","0","98"
"Saudi Arabia","10","22","3","0","78","2","135","5","0","0","255"
"Syrian Arab Republic","15","19","9","0","64","10","13","45","0","0","175"
"Tajikistan","8","17","7","0","5","0","3","21","1","0","62"
"Türkiye","18","24","20","12","145","44","44","138","9","0","455"
"Turkmenistan","8","21","6","0","11","1","6","7","0","0","60"
"United Arab Emirates","8","16","5","0","57","0","36","0","0","0","122"
"Uzbekistan","8","20","9","0","7","1","2","27","0","0","74"
"Yemen","12","20","7","0","71","3","150","169","0","0","432"
